iter	Logloss
0	0.6623201191
1	0.6315088183
2	0.6076392473
3	0.5871603599
4	0.571021098
5	0.5531143976
6	0.5400379854
7	0.5274198118
8	0.5154512302
9	0.5068573734
10	0.5002172417
11	0.4924695235
12	0.484931164
13	0.4800913682
14	0.4744238349
15	0.469227101
16	0.4646042967
17	0.4588592933
18	0.4543663384
19	0.4474968273
20	0.4441433744
21	0.4395409788
22	0.4364857634
23	0.4334200098
24	0.4309880879
25	0.4280057359
26	0.4249644716
27	0.4222125641
28	0.4211772562
29	0.4181552999
30	0.4160433925
31	0.4141990727
32	0.4123092753
33	0.4100758665
34	0.4073280117
35	0.404894648
36	0.402995786
37	0.4025853061
38	0.4012087799
39	0.4000123001
40	0.398250163
41	0.397779096
42	0.3956282134
43	0.3928404162
44	0.390645948
45	0.3877460809
46	0.386097772
47	0.3845265053
48	0.3839458785
49	0.3828962075
50	0.3805836814
51	0.3798829913
52	0.3781165698
53	0.3769695658
54	0.3749043955
55	0.3738107935
56	0.3713819594
57	0.3698933823
58	0.3683003693
59	0.3674542004
60	0.3662251266
61	0.3642028984
62	0.3631522678
63	0.3631484965
64	0.3617072957
65	0.3599018177
66	0.3587222457
67	0.3573502173
68	0.3559591619
69	0.354998788
70	0.3538829118
71	0.3517771565
72	0.3494409756
73	0.3487072105
74	0.3470520069
75	0.3459786532
76	0.3448881982
77	0.3435035019
78	0.3430491371
79	0.3417377298
80	0.3410631068
81	0.339976579
82	0.3380435414
83	0.3368889477
84	0.3353267281
85	0.3336451307
86	0.3320754902
87	0.3305911311
88	0.3295177022
89	0.3294516623
90	0.327635564
91	0.3268022984
92	0.3255949167
93	0.3246995832
94	0.3233736127
95	0.3225425062
96	0.3224871996
97	0.3216753558
98	0.3203052707
99	0.3197913987
