iter	Logloss_SumError	Logloss_SumWeight
0	123.8164622	179
1	123.5098795	179
2	123.2492537	179
3	122.982614	179
4	122.7243067	179
5	122.4800841	179
6	122.2230849	179
7	121.9569211	179
8	121.6431493	179
9	121.4190505	179
10	121.1601943	179
11	120.8904787	179
12	120.6012665	179
13	120.3591951	179
14	120.145237	179
15	119.88385	179
16	119.6444869	179
17	119.4241752	179
18	119.2114793	179
19	118.9218256	179
20	118.6778799	179
21	118.441656	179
22	118.1896451	179
23	117.9427815	179
24	117.664589	179
25	117.433332	179
26	117.2103407	179
27	116.9621626	179
28	116.7194417	179
29	116.5223013	179
30	116.3067976	179
31	116.0931533	179
32	115.8315417	179
33	115.631349	179
34	115.4567978	179
35	115.250459	179
36	115.0419565	179
37	114.8354185	179
38	114.6182542	179
39	114.4128036	179
40	114.1902185	179
41	113.9983927	179
42	113.8030305	179
43	113.5959741	179
44	113.4005155	179
45	113.196627	179
46	112.9836778	179
47	112.7967245	179
48	112.5761263	179
49	112.3827214	179
50	112.1996203	179
51	112.0469291	179
52	111.8339391	179
53	111.6769118	179
54	111.4678459	179
55	111.2748383	179
56	111.0653404	179
57	110.9006612	179
58	110.7288636	179
59	110.5556258	179
60	110.3430817	179
61	110.1765372	179
62	110.0121854	179
63	109.8475417	179
64	109.6515388	179
65	109.4777193	179
66	109.3268378	179
67	109.1671327	179
68	109.0094953	179
69	108.821864	179
70	108.6863674	179
71	108.5316631	179
72	108.3844607	179
73	108.2322921	179
74	108.0681281	179
75	107.9270733	179
76	107.743839	179
77	107.5968003	179
78	107.4583072	179
79	107.2799332	179
80	107.1040962	179
81	106.9343829	179
82	106.7608663	179
83	106.6422063	179
84	106.4985951	179
85	106.3395495	179
86	106.1994142	179
87	106.0581826	179
88	105.9423168	179
89	105.7887938	179
90	105.64561	179
91	105.4718433	179
92	105.3275121	179
93	105.1982931	179
94	105.0556498	179
95	104.9314528	179
96	104.799514	179
97	104.6814094	179
98	104.5537744	179
99	104.4005345	179
