iter	Passed	Remaining
0	47	4743
1	88	4346
2	161	5225
3	226	5425
4	278	5295
5	310	4870
6	364	4847
7	430	4950
8	494	5003
9	516	4647
10	540	4375
11	585	4292
12	639	4277
13	673	4134
14	730	4137
15	778	4089
16	831	4057
17	856	3900
18	908	3874
19	961	3846
20	995	3743
21	1048	3718
22	1103	3693
23	1160	3676
24	1220	3661
25	1286	3660
26	1324	3581
27	1382	3554
28	1412	3457
29	1467	3423
30	1509	3358
31	1541	3275
32	1612	3274
33	1668	3237
34	1724	3202
35	1783	3171
36	1837	3129
37	1867	3046
38	1934	3025
39	1987	2981
40	2040	2936
41	2087	2882
42	2141	2839
43	2196	2794
44	2261	2763
45	2315	2718
46	2368	2671
47	2421	2622
48	2463	2564
49	2516	2516
50	2570	2469
51	2624	2422
52	2675	2372
53	2730	2326
54	2801	2291
55	2862	2249
56	2931	2211
57	2991	2166
58	3044	2115
59	3097	2065
60	3154	2016
61	3199	1960
62	3252	1909
63	3266	1837
64	3326	1791
65	3381	1742
66	3433	1691
67	3493	1644
68	3545	1592
69	3602	1544
70	3659	1494
71	3713	1443
72	3767	1393
73	3826	1344
74	3882	1294
75	3937	1243
76	3993	1192
77	4045	1140
78	4097	1089
79	4150	1037
80	4206	986
81	4259	935
82	4316	884
83	4376	833
84	4433	782
85	4503	733
86	4558	681
87	4612	628
88	4668	577
89	4722	524
90	4776	472
91	4833	420
92	4894	368
93	4968	317
94	5035	265
95	5089	212
96	5146	159
97	5200	106
98	5258	53
99	5323	0
